0,1,2,3
Tazoe Kenta,Sarsembayev Dias,4:0,1:0
Stener Jonas,Vannucci Marco,4:1,1:0
Gadiev Vildan,Rembert Bastien,4:0,1:0
Allegro Martin,Miettinen Esa,4:0,1:0
Picard Vincent,Rebetez Yoan,4:2,1:0
Saaremae Rivo,Waerstad Marcus,4:2,2:1
Vilchez Miguel,Soine Toni,4:1,1:0
Shamruk Gleb,Myllarinen Markus,4:2,2:0
Yigenler Abdullah,Kippel Viggo,4:2,1:0
Stankevicius Medardas,Downing George,4:1,1:1
Rech Daldosso Marco,Bourrassaud Florian,4:1,1:0
Jean Gregoire,Gonzalez Daniel,4:1,2:0
Rossi Carlo,Flemming Veikka,4:0,1:0
Soine Samuli,Cano Rodrigo,4:0,1:0
Tromer Laurens,Jonsson David,4:0,1:0
Miyamoto Yukinori,Agbetoglo Mawussi,4:1,1:0
Georgsson Vilmer,Karin Filip,4:1,1:0
Katsman Lev,Hashimli Khayal,4:2,1:0
Mcbeath David,Stepanov Ivan,4:0,1:0
Schmid Elia,Abusev Artur,4:3,1:1
Tennila Otto,Gunduz Ziver,4:2,1:0
Amiri Nia Soroosh,Sanchez Diego,4:3,1:0
Hedlund Jesper,Mommessin Alexis,4:0,1:0
Rasmussen Tobias,Mustonen Aleksi,4:0,1:0
Powell David,Zholudev Denis,4:0,1:0
Llorca Damien,Daunarovich Pavel,4:1,1:0
Olah Benedek,Hort Tomas,4:0,1:0
Platonov Pavel,Kelbuganov Timur,4:1,1:0
Rolland Jules,Udra Alfredas,4:2,1:0
Uemura Keiya,Menand Remi,4:0,1:0
Ericson Gustaf,Doyen Antoine,4:0,1:0
Oostwouder Ewout,Bardet Lilian,4:1,1:0
Qian Cheng,Laane Lauri,4:0,1:0
Swartenbrouckx Gaetan,Batocchi Hugo,4:1,1:0
Ismailov Sadi,Friis Martin,4:1,2:0
Nielsen Claus,Oconnor Miikka,4:3,4:0
Weber Lionel,Meringdal Fredrik,4:1,1:0
Chobeau Clement,Baciocchi Alessandro,4:3,1:0
Gusev Arseniy,Henin Valentin,4:0,1:0
Landrieu Andrea,Khripunenko Pavel,4:1,1:1
Shvetc Kirill,Lavergne Paul,4:2,1:0
Fujimura Tomoya,Ozturk Ozgun,4:0,1:0
Gerassimenko Kirill,Masip Joan,4:0,2:0
Angles Enzo,Glod Eric,4:0,3:0
Champod Nicolas,Rasmussen Kasper,4:3,1:0
Tazoe Kenta,Lotfijanabadi Miad,4:0,2:0
Gadiev Vildan,Stener Jonas,4:3,2:0
Allegro Martin,Picard Vincent,4:2,1:0
Vilchez Miguel,Saaremae Rivo,4:1,1:0
Shamruk Gleb,Yigenler Abdullah,4:2,2:0
Rech Daldosso Marco,Stankevicius Medardas,4:1,1:0
Jean Gregoire,Rossi Carlo,4:1,1:0
Tromer Laurens,Soine Samuli,4:0,1:0
Miyamoto Yukinori,Georgsson Vilmer,4:0,1:0
Mcbeath David,Katsman Lev,4:1,1:1
Schmid Elia,Tennila Otto,4:2,1:0
Hedlund Jesper,Amiri Nia Soroosh,4:2,1:0
Rasmussen Tobias,Powell David,4:2,1:0
Olah Benedek,Llorca Damien,4:1,1:0
Platonov Pavel,Rolland Jules,4:1,1:0
Ericson Gustaf,Uemura Keiya,4:2,1:0
Qian Cheng,Oostwouder Ewout,4:0,1:0
Ismailov Sadi,Swartenbrouckx Gaetan,4:0,1:0
Weber Lionel,Nielsen Claus,4:2,3:3
Villa Ricardo,Montufar Kevin,3:0,4:0
Moscoso Heber,Arce Damian,0:3,0:1
Munoz Guillermo,Moreno Luis,1:3,0:1
Gatica Hector,Calderon Julio,3:2,2:0
Guerra Jose,Diaz Denis,3:0,1:0
Avi-Tal Omer,Valeriano Oscar,3:0,2:0
Sequeira Roger,Sanchez Noe,3:0,1:0
Cordero Camilo,Castellon Denilson,3:1,1:0
Donado Josue,Vallarino Carlos Alberto,3:1,1:0
Quintanilla Marcelo,Miranda Raul,3:0,1:0
Munoz Guillermo,Acevedo Amilcar,3:1,1:0
Castro Gary,Cordero Luis,3:0,2:0
Soto Kevin,Galeano Jaime,3:0,1:0
Urbina Jose,Ruano Kevin,3:0,1:0
Calvo Allan,Zamora Carlos,3:1,1:0
Villa Ricardo,Martinez Jeison,3:1,3:0
Moscoso Heber,Munoz Guillermo,3:1,2:0
Arce Damian,Moreno Luis,3:1,1:0
Gatica Hector,Guerra Jose,3:0,2:0
Calderon Julio,Diaz Denis,3:1,1:0
Avi-Tal Omer,Sequeira Roger,3:0,2:0
Valeriano Oscar,Sanchez Noe,2:3,0:1
Cordero Camilo,Donado Josue,0:3,0:1
Castellon Denilson,Vallarino Carlos Alberto,3:1,1:0
Quintanilla Marcelo,Munoz Guillermo,2:3,0:1
Miranda Raul,Acevedo Amilcar,2:3,0:1
Castro Gary,Soto Kevin,1:3,0:1
Cordero Luis,Galeano Jaime,0:3,0:1
Urbina Jose,Calvo Allan,2:3,0:3
Ruano Kevin,Zamora Carlos,0:3,0:1
Martinez Jeison,Montufar Kevin,0:3,0:4
Moscoso Heber,Moreno Luis,3:1,1:0
Munoz Guillermo,Arce Damian,0:3,0:1
Gatica Hector,Diaz Denis,3:0,1:0
Guerra Jose,Calderon Julio,2:3,0:2
Avi-Tal Omer,Sanchez Noe,3:2,2:0
Sequeira Roger,Valeriano Oscar,3:0,1:0
Cordero Camilo,Vallarino Carlos Alberto,3:2,2:0
Donado Josue,Castellon Denilson,3:2,1:0
Quintanilla Marcelo,Acevedo Amilcar,3:1,1:0
Munoz Guillermo,Miranda Raul,3:1,1:0
Castro Gary,Galeano Jaime,0:3,0:1
Soto Kevin,Cordero Luis,3:0,1:0
Urbina Jose,Zamora Carlos,0:3,0:1
Calvo Allan,Ruano Kevin,3:2,1:0
Villa Ricardo,Moscoso Heber,4:3,7:0
Cordero Camilo,Calvo Allan,2:4,1:1
Munoz Guillermo,Galeano Jaime,4:0,1:0
Avi-Tal Omer,Zamora Carlos,4:0,1:0
Montufar Kevin,Donado Josue,1:4,0:4
Soto Kevin,Quintanilla Marcelo,4:0,2:0
Calderon Julio,Arce Damian,4:3,1:1
Villa Ricardo,Calvo Allan,4:0,1:0
Munoz Guillermo,Gatica Hector,4:3,2:2
Avi-Tal Omer,Donado Josue,2:4,1:4
Soto Kevin,Calderon Julio,2:4,1:1
Villa Ricardo,Munoz Guillermo,3:4,0:1
Donado Josue,Calderon Julio,4:1,2:0
Munoz Guillermo,Donado Josue,1:4,1:2
Xu Xin,Devos Robin,4:1,1:0
Falck Mattias,Gorak Daniel,4:0,1:0
Baum Patrick,Brossier Benjamin,1:4,0:1
Groth Jonathan,Oshima Yuya,1:4,1:3
Morizono Masataka,Jancarik Lubomir,4:0,1:0
Ionescu Ovidiu,Monteiro Joao,2:4,0:1
Skachkov Kirill,Duda Benedikt,4:2,1:1
Walther Ricardo,Chuang Chih-Yuan,2:4,0:2
Fang Bo,Robinot Alexandre,4:1,1:0
Wang Eugene,Shiono Masato,4:1,1:0
Karlsson Kristian,Kasahara Hiromitsu,4:2,1:0
Zhmudenko Yaroslav,Shibaev Alexander,2:4,0:1
Apolonia Tiago,Ghosh Soumyajit,3:4,0:1
Lundqvist Jens,Maze Michael,4:3,1:3
Mattenet Adrien,Vlasov Grigory,4:3,1:0
Li Ahmet,Zhang Jike,0:4,0:2
Mizutani Jun,Nuytinck Cedric,4:0,1:0
Gnanasekaran Sathiyan,Liang Jingkun,0:4,0:1
Steger Bastian,Karakasevic Aleksandar,4:3,4:1
Geraldo Joao,Gerell Par,1:4,0:1
Gao Ning,Sambe Kohei,4:3,2:0
Kishikawa Seiya,Ho Kwan Kit,2:4,0:1
Aruna Quadri,Eloi Damien,1:4,0:1
Walker Samuel,Freitas Marcos,1:4,0:2
Yan An,Cantero Jesus,4:0,1:0
Kallberg Anton,Pitchford Liam,4:1,1:1
Drinkhall Paul,Lakeev Vasily,1:4,0:1
Ogata Ryotaro,Gauzy Simon,4:3,1:1
Matsudaira Kenta,Ismailov Sadi,4:0,1:0
Salifou Abdel-Kader,Li Hu,0:4,0:1
Tokic Bojan,Wang Zengyi,0:4,3:3
Ouaiche Stephane,Fan Zhendong,0:4,0:1
Xu Xin,Falck Mattias,4:1,4:0
Brossier Benjamin,Oshima Yuya,4:3,1:1
Morizono Masataka,Monteiro Joao,4:1,1:0
Skachkov Kirill,Chuang Chih-Yuan,1:4,0:1
Fang Bo,Wang Eugene,3:4,0:1
Karlsson Kristian,Shibaev Alexander,4:3,1:2
Ghosh Soumyajit,Lundqvist Jens,2:4,0:1
Mattenet Adrien,Zhang Jike,0:4,0:2
Mizutani Jun,Liang Jingkun,3:4,2:3
Steger Bastian,Gerell Par,0:4,3:2
Gao Ning,Ho Kwan Kit,2:4,2:1
Eloi Damien,Freitas Marcos,1:4,0:1
Yan An,Kallberg Anton,3:4,0:1
Lakeev Vasily,Ogata Ryotaro,4:0,1:0
Matsudaira Kenta,Li Hu,4:0,1:0
Wang Zengyi,Fan Zhendong,1:4,0:1
Xu Xin,Brossier Benjamin,4:0,1:0
Morizono Masataka,Chuang Chih-Yuan,0:4,1:2
Wang Eugene,Karlsson Kristian,2:4,0:1
Lundqvist Jens,Zhang Jike,4:2,1:1
Liang Jingkun,Gerell Par,4:2,1:0
Ho Kwan Kit,Freitas Marcos,2:4,0:2
Kallberg Anton,Lakeev Vasily,4:0,1:0
Matsudaira Kenta,Fan Zhendong,2:4,1:5
Xu Xin,Chuang Chih-Yuan,4:1,8:1
Karlsson Kristian,Lundqvist Jens,4:0,1:0
Liang Jingkun,Freitas Marcos,4:3,2:0
Kallberg Anton,Fan Zhendong,2:4,0:2
Xu Xin,Karlsson Kristian,4:0,3:0
Liang Jingkun,Fan Zhendong,2:4,2:8
Xu Xin,Fan Zhendong,2:4,8:14
Shing Yoshua,Lakatos Tamas,2:4,0:1
Petiot Jeremy,Oconnor Miikka,4:0,1:0
Moregard Malte,Yang Heng-Wei,0:4,0:1
Devos Robin,Perman Oscar,4:1,1:0
Tomlinson Simon,Oversjo Mattias,0:4,0:1
Anthony Amalraj,Vilchez Miguel,4:1,1:0
Mcbeath David,Zeljko Filip,4:2,1:0
Ho Kwan Kit,Lakatos Tamas,4:0,2:0
Chernov Konstantin,Yang Zi,4:2,1:0
Flore Tristan,Shetty Sanil,4:0,1:0
Chen Alexander,Lundqvist Jens,0:4,0:2
Salifou Abdel-Kader,Duranspahic Admir,4:2,1:1
Brodd Viktor,Szocs Hunor,4:3,1:0
Jakab Janos,Jha Kanak,4:2,1:0
Nordberg Hampus,Groth Jonathan,1:4,0:2
Persson Jon,Harimoto Tomokazu,4:0,1:4
Tran Theodore,Ghosh Soumyajit,1:4,0:1
Robinot Alexandre,Wolf Christian,4:2,1:0
Soderlund Hampus,Paikov Mikhail,2:4,0:4
Jancarik Lubomir,Arvidsson Simon,4:1,2:1
Gerassimenko Kirill,Matsumoto Cazuo,3:4,1:1
Kosowski Jakub,Hu Heming,2:4,0:1
Petiot Jeremy,Falck Mattias,0:4,0:1
Li Ahmet,Yang Heng-Wei,4:2,1:0
Ahlander-J Carl,Gonzalez Daniel,4:2,1:0
Zhmudenko Yaroslav,Theriault Pierre-Luc,4:0,1:0
Gorman Viktor,Smirnov Alexey,0:4,0:1
Dyjas Jakub,Cantero Jesus,2:4,0:1
Jean Lauric,Legout Christophe,4:1,1:0
Olah Benedek,Kopanyi Tomas,4:1,1:0
Akerstrom Fabian,Karakasevic Aleksandar,1:4,0:1
He Zhiwen,Walker Samuel,1:4,0:1
Lievshyn Vitaliy,Ranefur Elias,4:3,1:0
Duran Marc,Powell David,4:1,1:0
Tornkvist Andreas,Geraldo Joao,3:4,0:1
Stoyanov Niagol,Szudi Adam,4:1,4:0
Friis Martin,Duda Benedikt,1:4,0:1
Xu Xin,Devos Robin,4:1,1:0
Falck Mattias,Gorak Daniel,4:0,1:0
Baum Patrick,Brossier Benjamin,1:4,0:1
Groth Jonathan,Oshima Yuya,1:4,1:3
Morizono Masataka,Jancarik Lubomir,4:0,1:0
Ionescu Ovidiu,Monteiro Joao,2:4,0:1
Skachkov Kirill,Duda Benedikt,4:2,1:1
Walther Ricardo,Chuang Chih-Yuan,2:4,0:2
Fang Bo,Robinot Alexandre,4:1,1:0
Wang Eugene,Shiono Masato,4:1,1:0
Karlsson Kristian,Kasahara Hiromitsu,4:2,1:0
Zhmudenko Yaroslav,Shibaev Alexander,2:4,0:1
Apolonia Tiago,Ghosh Soumyajit,3:4,0:1
Lundqvist Jens,Maze Michael,4:3,1:3
Mattenet Adrien,Vlasov Grigory,4:3,1:0
Li Ahmet,Zhang Jike,0:4,0:2
Mizutani Jun,Nuytinck Cedric,4:0,1:0
Gnanasekaran Sathiyan,Liang Jingkun,0:4,0:1
Steger Bastian,Karakasevic Aleksandar,4:3,4:1
Geraldo Joao,Gerell Par,1:4,0:1
Gao Ning,Sambe Kohei,4:3,2:0
Kishikawa Seiya,Ho Kwan Kit,2:4,0:1
Aruna Quadri,Eloi Damien,1:4,0:1
Walker Samuel,Freitas Marcos,1:4,0:2
Yan An,Cantero Jesus,4:0,1:0
Kallberg Anton,Pitchford Liam,4:1,1:1
Drinkhall Paul,Lakeev Vasily,1:4,0:1
Ogata Ryotaro,Gauzy Simon,4:3,1:1
Matsudaira Kenta,Ismailov Sadi,4:0,1:0
Salifou Abdel-Kader,Li Hu,0:4,0:1
Tokic Bojan,Wang Zengyi,0:4,3:3
Ouaiche Stephane,Fan Zhendong,0:4,0:1
Xu Xin,Falck Mattias,4:1,4:0
Brossier Benjamin,Oshima Yuya,4:3,1:1
Morizono Masataka,Monteiro Joao,4:1,1:0
Skachkov Kirill,Chuang Chih-Yuan,1:4,0:1
Fang Bo,Wang Eugene,3:4,0:1
Karlsson Kristian,Shibaev Alexander,4:3,1:2
Ghosh Soumyajit,Lundqvist Jens,2:4,0:1
Mattenet Adrien,Zhang Jike,0:4,0:2
Mizutani Jun,Liang Jingkun,3:4,2:3
Steger Bastian,Gerell Par,0:4,3:2
Gao Ning,Ho Kwan Kit,2:4,2:1
Eloi Damien,Freitas Marcos,1:4,0:1
Yan An,Kallberg Anton,3:4,0:1
Lakeev Vasily,Ogata Ryotaro,4:0,1:0
Matsudaira Kenta,Li Hu,4:0,1:0
Wang Zengyi,Fan Zhendong,1:4,0:1
Xu Xin,Brossier Benjamin,4:0,1:0
Morizono Masataka,Chuang Chih-Yuan,0:4,1:2
Wang Eugene,Karlsson Kristian,2:4,0:1
Lundqvist Jens,Zhang Jike,4:2,1:1
Liang Jingkun,Gerell Par,4:2,1:0
Ho Kwan Kit,Freitas Marcos,2:4,0:2
Kallberg Anton,Lakeev Vasily,4:0,1:0
Matsudaira Kenta,Fan Zhendong,2:4,1:5
Xu Xin,Chuang Chih-Yuan,4:1,8:1
Karlsson Kristian,Lundqvist Jens,4:0,1:0
Liang Jingkun,Freitas Marcos,4:3,2:0
Kallberg Anton,Fan Zhendong,2:4,0:2
Xu Xin,Karlsson Kristian,4:0,3:0
Liang Jingkun,Fan Zhendong,2:4,2:8
Xu Xin,Fan Zhendong,2:4,8:14
Shing Yoshua,Lakatos Tamas,2:4,0:1
Petiot Jeremy,Oconnor Miikka,4:0,1:0
Moregard Malte,Yang Heng-Wei,0:4,0:1
Devos Robin,Perman Oscar,4:1,1:0
Tomlinson Simon,Oversjo Mattias,0:4,0:1
Anthony Amalraj,Vilchez Miguel,4:1,1:0
Mcbeath David,Zeljko Filip,4:2,1:0
Ho Kwan Kit,Lakatos Tamas,4:0,2:0
Chernov Konstantin,Yang Zi,4:2,1:0
Flore Tristan,Shetty Sanil,4:0,1:0
Chen Alexander,Lundqvist Jens,0:4,0:2
Salifou Abdel-Kader,Duranspahic Admir,4:2,1:1
Brodd Viktor,Szocs Hunor,4:3,1:0
Jakab Janos,Jha Kanak,4:2,1:0
Nordberg Hampus,Groth Jonathan,1:4,0:2
Persson Jon,Harimoto Tomokazu,4:0,1:4
Tran Theodore,Ghosh Soumyajit,1:4,0:1
Robinot Alexandre,Wolf Christian,4:2,1:0
Soderlund Hampus,Paikov Mikhail,2:4,0:4
Jancarik Lubomir,Arvidsson Simon,4:1,2:1
Gerassimenko Kirill,Matsumoto Cazuo,3:4,1:1
Kosowski Jakub,Hu Heming,2:4,0:1
Petiot Jeremy,Falck Mattias,0:4,0:1
Li Ahmet,Yang Heng-Wei,4:2,1:0
Ahlander-J Carl,Gonzalez Daniel,4:2,1:0
Zhmudenko Yaroslav,Theriault Pierre-Luc,4:0,1:0
Gorman Viktor,Smirnov Alexey,0:4,0:1
Dyjas Jakub,Cantero Jesus,2:4,0:1
Jean Lauric,Legout Christophe,4:1,1:0
Olah Benedek,Kopanyi Tomas,4:1,1:0
Akerstrom Fabian,Karakasevic Aleksandar,1:4,0:1
He Zhiwen,Walker Samuel,1:4,0:1
Lievshyn Vitaliy,Ranefur Elias,4:3,1:0
Duran Marc,Powell David,4:1,1:0
Tornkvist Andreas,Geraldo Joao,3:4,0:1
Stoyanov Niagol,Szudi Adam,4:1,4:0
Friis Martin,Duda Benedikt,1:4,0:1
Ma Long,Harimoto Tomokazu,4:0,4:1
Wang Eugene,Dyjas Jakub,2:4,0:1
Mengel Steffen,Liventsov Alexey,4:0,1:1
Falck Mattias,Yan An,4:3,1:1
Tang Peng,Li Ahmet,4:2,1:0
Monteiro Thiago,Filus Ruwen,2:4,0:1
Fegerl Stefan,Brodd Viktor,4:0,1:0
Matsumoto Cazuo,Freitas Marcos,1:4,0:2
Ovtcharov Dimitrij,Groth Jonathan,4:2,5:1
Szocs Hunor,Yoshida Kaii,0:4,0:1
Gacina Andrej,Kizukuri Yuto,4:0,1:1
Cheng Jingqi,Matsudaira Kenta,1:4,0:2
Gao Ning,Jakab Janos,4:0,2:0
Konecny Tomas,Li Ping,4:3,1:0
Shiono Masato,Hachard Antoine,4:0,1:1
Brossier Benjamin,Zhang Jike,2:4,0:1
Fan Zhendong,Ismailov Sadi,4:1,2:0
Ghosh Soumyajit,Li Hu,3:4,1:1
Assar Omar,Shibaev Alexander,3:4,0:2
Persson Jon,Muramatsu Yuto,4:3,1:0
Niwa Koki,Ho Kwan Kit,4:1,3:0
Wang Yang,Mattenet Adrien,4:1,2:0
Steger Bastian,Chiang Hung-Chieh,0:4,2:1
Vlasov Grigory,Chuang Chih-Yuan,3:4,0:2
Mizutani Jun,Tregler Tomas,4:0,2:0
Wang Zengyi,Jiang Tianyi,4:2,1:0
Gorak Daniel,Walther Ricardo,4:3,1:0
Flore Tristan,Wong Chun Ting,0:4,0:3
Apolonia Tiago,Lebesson Emmanuel,1:4,8:2
Robles Alvaro,Franziska Patrick,2:4,0:3
Aruna Quadri,Karlsson Kristian,4:0,3:0
Robinot Quentin,Xu Xin,0:4,0:1
Mengel Steffen,Falck Mattias,1:4,0:2
Tang Peng,Filus Ruwen,4:3,2:0
Fegerl Stefan,Freitas Marcos,4:2,3:7
Ovtcharov Dimitrij,Yoshida Kaii,4:2,2:0
Gacina Andrej,Matsudaira Kenta,4:1,2:0
Gao Ning,Konecny Tomas,4:2,2:0
Shiono Masato,Zhang Jike,2:4,0:2
Fan Zhendong,Li Hu,4:0,2:1
Shibaev Alexander,Persson Jon,4:0,2:0
Niwa Koki,Wang Yang,2:4,2:1
Chiang Hung-Chieh,Chuang Chih-Yuan,2:4,0:2
Mizutani Jun,Wang Zengyi,4:2,4:0
Gorak Daniel,Wong Chun Ting,2:4,0:1
Lebesson Emmanuel,Franziska Patrick,1:4,1:1
Aruna Quadri,Xu Xin,0:4,0:3
Dyjas Jakub,Falck Mattias,3:4,0:2
Tang Peng,Fegerl Stefan,0:4,2:1
Ovtcharov Dimitrij,Gacina Andrej,4:1,8:0
Gao Ning,Zhang Jike,0:4,0:9
Fan Zhendong,Shibaev Alexander,4:1,3:0
Wang Yang,Chuang Chih-Yuan,4:3,1:1
Mizutani Jun,Wong Chun Ting,3:4,4:2
Franziska Patrick,Xu Xin,0:4,1:10
Falck Mattias,Fegerl Stefan,3:4,2:4
Ovtcharov Dimitrij,Zhang Jike,0:4,3:5
Fan Zhendong,Wang Yang,4:0,1:0
Wong Chun Ting,Xu Xin,1:4,1:9
Fegerl Stefan,Zhang Jike,4:2,1:2
Fan Zhendong,Xu Xin,4:2,14:8
Fegerl Stefan,Fan Zhendong,3:4,0:1
Wang Yang,Yang Zi,4:1,1:0
Rasmussen Tobias,Robles Alvaro,1:4,0:1
Wang Zengyi,Korbel Petr,4:3,2:3
Kallberg Anton,Flore Tristan,1:4,0:2
Hachard Antoine,Vrablik Jiri,4:3,1:0
Chiang Hung-Chieh,Sirucek Pavel,4:0,1:0
Lundqvist Jens,Cheng Jingqi,1:4,0:1
Li Ahmet,Madrid Marcos,4:3,1:0
Konecny Tomas,Burov Viacheslav,4:2,1:0
Sambe Kohei,Brossier Benjamin,3:4,0:1
Walther Ricardo,Platonov Pavel,4:1,2:0
Ionescu Ovidiu,Robinot Quentin,3:4,1:1
Baibuldin Andrei,Monteiro Thiago,0:4,0:1
Falck Mattias,Duda Benedikt,4:0,1:1
Hielscher Lars,Szocs Hunor,3:4,0:1
Groth Jonathan,Sereda Peter,4:2,2:1
Paikov Mikhail,Ghosh Soumyajit,1:4,0:1
Ouaiche Stephane,Kizukuri Yuto,3:4,2:1
Petiot Jeremy,Matsumoto Cazuo,2:4,1:1
Pistej Lubomir,Tregler Tomas,0:4,0:2
Oikawa Mizuki,Jakab Janos,1:4,0:1
Qiu Liang,Landrieu Andrea,1:4,0:3
Shibaev Alexander,Landrieu Andrea,4:2,1:0
Shibaev Alexander,Qiu Liang,4:0,1:0
Ismailov Sadi,Qiu Dang,4:0,1:2
Habesohn Daniel,Qiu Dang,2:4,1:1
Habesohn Daniel,Ismailov Sadi,4:1,2:1
Ahlander-J Carl,Jha Kanak,4:0,3:0
Vlasov Grigory,Jha Kanak,4:0,1:0
Vlasov Grigory,Ahlander-J Carl,4:1,1:0
Ecseki Nandor,Bajger Ondrej,1:4,0:4
Karlsson Kristian,Bajger Ondrej,4:2,1:0
Karlsson Kristian,Ecseki Nandor,4:0,3:0
Allegro Martin,Peng Wang-Wei,4:3,2:0
Wang Eugene,Peng Wang-Wei,4:1,1:0
Wang Eugene,Allegro Martin,4:0,1:0
Provost Damien,Khanin Aleksandr,1:4,0:1
Ho Kwan Kit,Khanin Aleksandr,4:3,1:0
Gao Ning,Henzell William,4:0,2:0
Gao Ning,Karlsson Kristian,1:4,2:1
Karlsson Kristian,Henzell William,4:1,1:0
Apolonia Tiago,Tsuboi Gustavo,3:4,4:1
Apolonia Tiago,Assar Omar,4:3,1:2
Assar Omar,Tsuboi Gustavo,4:3,3:0
Gionis Panagiotis,Butler Jimmy,4:0,1:0
Gionis Panagiotis,Gauzy Simon,4:1,4:2
Gauzy Simon,Butler Jimmy,4:0,1:0
Gardos Robert,Kallberg Anton,4:0,2:3
Gardos Robert,Achanta Sharath Kamal,4:0,2:0
Achanta Sharath Kamal,Kallberg Anton,0:4,1:2
Ma Long,Assar Omar,4:1,3:0
Gionis Panagiotis,Freitas Marcos,2:4,2:4
Niwa Koki,Gardos Robert,4:2,1:0
Gao Ning,Ovtcharov Dimitrij,0:4,3:2
Mizutani Jun,Kallberg Anton,4:1,1:0
Tsuboi Gustavo,Tang Peng,4:3,1:0
Chuang Chih-Yuan,Karlsson Kristian,4:1,4:0
Gauzy Simon,Fan Zhendong,0:4,0:5
Ma Long,Freitas Marcos,4:0,5:0
Niwa Koki,Ovtcharov Dimitrij,1:4,1:9
Mizutani Jun,Tsuboi Gustavo,4:0,2:0
Chuang Chih-Yuan,Fan Zhendong,1:4,0:11
Ma Long,Ovtcharov Dimitrij,4:0,17:0
Mizutani Jun,Fan Zhendong,1:4,0:6
Ma Long,Fan Zhendong,4:0,15:6
Ovtcharov Dimitrij,Mizutani Jun,4:2,5:12
Ovtcharov Dimitrij,Olah Benedek,4:0,1:0
Kallberg Anton,Gorak Daniel,4:2,1:0
Pitchford Liam,Paikov Mikhail,4:2,1:1
Polansky Tomas,Fegerl Stefan,4:2,1:0
Monteiro Joao,Kosiba Daniel,4:3,2:0
Jorgic Darko,Liventsov Alexey,2:4,0:1
Mengel Steffen,Groth Jonathan,2:4,0:1
Robles Alvaro,Gionis Panagiotis,1:4,0:1
Gauzy Simon,Pistej Lubomir,1:4,4:1
Wang Zengyi,Kou Lei,3:4,1:1
Bobocica Mihai,Lundqvist Jens,1:4,1:1
Sirucek Pavel,Filus Ruwen,1:4,0:1
Chen Weixing,Kolarek Tomislav,4:1,1:0
Li Ahmet,Vlasov Grigory,4:3,1:0
Karlsson Kristian,Konecny Tomas,4:1,1:0
Rabinovich Shimon,Apolonia Tiago,0:4,0:2
Samsonov Vladimir,Ben Ari Omri,4:0,3:0
Walker Samuel,Skachkov Kirill,0:4,0:2
Lebesson Emmanuel,Walther Ricardo,3:4,0:1
Tromer Laurens,Gerell Par,3:4,0:2
Gacina Andrej,Krastev Petyo,4:0,1:0
Geraldo Joao,Habesohn Daniel,2:4,0:2
Prokopcov Dmitrij,He Zhiwen,1:4,0:4
Nuytinck Cedric,Baum Patrick,4:0,1:0
Gardos Robert,Duran Marc,4:2,2:0
Zatowka Patryk,Persson Jon,1:4,0:1
Shibaev Alexander,Primorac Zoran,4:0,2:0
Jancarik Lubomir,Drinkhall Paul,4:2,2:3
Franziska Patrick,Zhmudenko Yaroslav,4:0,1:1
Falck Mattias,Crisan Adrian,4:0,1:1
Pattantyus Adam,Sereda Peter,3:4,0:1
Kuzmin Fedor,Freitas Marcos,0:4,0:1
Ovtcharov Dimitrij,Kallberg Anton,4:1,4:0
Pitchford Liam,Polansky Tomas,4:1,2:0
Monteiro Joao,Liventsov Alexey,2:4,0:1
Groth Jonathan,Gionis Panagiotis,2:4,1:2
Pistej Lubomir,Kou Lei,1:4,0:2
Lundqvist Jens,Filus Ruwen,2:4,2:1
Chen Weixing,Li Ahmet,1:4,0:1
Karlsson Kristian,Apolonia Tiago,2:4,1:2
Samsonov Vladimir,Skachkov Kirill,2:4,1:1
Walther Ricardo,Gerell Par,3:4,0:1
Gacina Andrej,Habesohn Daniel,4:1,2:0
He Zhiwen,Nuytinck Cedric,4:1,1:0
Gardos Robert,Persson Jon,4:0,2:1
Shibaev Alexander,Jancarik Lubomir,0:4,1:2
Franziska Patrick,Falck Mattias,4:0,5:2
Sereda Peter,Freitas Marcos,0:4,0:1
Ovtcharov Dimitrij,Pitchford Liam,4:2,4:1
Liventsov Alexey,Gionis Panagiotis,2:4,0:1
Kou Lei,Filus Ruwen,3:4,0:3
Li Ahmet,Apolonia Tiago,2:4,0:1
Skachkov Kirill,Gerell Par,0:4,1:2
Gacina Andrej,He Zhiwen,4:0,1:3
Gardos Robert,Jancarik Lubomir,4:3,2:0
Franziska Patrick,Freitas Marcos,1:4,3:3
Ovtcharov Dimitrij,Gionis Panagiotis,4:2,9:0
Filus Ruwen,Apolonia Tiago,3:4,0:3
Gerell Par,Gacina Andrej,4:1,2:0
Gardos Robert,Freitas Marcos,3:4,4:4
Ovtcharov Dimitrij,Apolonia Tiago,4:0,8:2
Gerell Par,Freitas Marcos,3:4,1:3
Ovtcharov Dimitrij,Freitas Marcos,4:1,13:0
Rech Daldosso Marco,Zatowka Patryk,1:3,0:2
Karakasevic Aleksandar,Maze Michael,0:3,2:2
Karakasevic Aleksandar,Zatowka Patryk,2:3,0:1
Rech Daldosso Marco,Maze Michael,3:1,1:0
Karakasevic Aleksandar,Rech Daldosso Marco,2:3,1:1
Zatowka Patryk,Maze Michael,1:3,0:1
Mutti Leonardo,Hindersson Mikkel,2:3,0:2
Wang Zengyi,Hasanov Hilal,3:0,1:0
Wang Zengyi,Hindersson Mikkel,3:1,1:1
